meetID,year,date,course,title,meet_type
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,2021,2021-06-19,25 Meters,Highlands Swim(138.0) at Chesterbrook(282.0),Dual
Overlee(306.0)_at_Dowden_Terrace(114.0)_2021,2021,2021-06-19,25 Meters,Overlee(306.0) at Dowden Terrace(114.0),Dual
Donaldson_Run(170.0)_at_Tuckahoe(250.0)_2021,2021,2021-06-19,25 Meters,Donaldson Run(170.0) at Tuckahoe(250.0),Dual
Chesterbrook(212.0)_at_Donaldson_Run(208.0)_2021,2021,2021-06-26,25 Meters,Chesterbrook(212.0) at Donaldson Run(208.0),Dual
Highlands_Swim(175.0)_at_Overlee(245.0)_2021,2021,2021-06-26,25 Meters,Highlands Swim(175.0) at Overlee(245.0),Dual
Tuckahoe(277.0)_at_Dowden_Terrace(142.0)_2021,2021,2021-06-26,25 Meters,Tuckahoe(277.0) at Dowden Terrace(142.0),Dual
Chesterbrook(196.5)_at_Tuckahoe(223.5)_2021,2021,2021-07-03,25 Meters,Chesterbrook(196.5) at Tuckahoe(223.5),Dual
Donaldson_Run(184.0)_at_Overlee(236.0)_2021,2021,2021-07-03,25 Meters,Donaldson Run(184.0) at Overlee(236.0),Dual
Dowden_Terrace(176.0)_at_Highlands_Swim(243.0)_2021,2021,2021-07-03,25 Meters,Dowden Terrace(176.0) at Highlands Swim(243.0),Dual
Divisional_Relays_2021_1,2021,2021-07-07,25 Meters,Divisional Relays,Champs
