champsMeetID,meetID,meet_type
D1RC2021_Champs,D1RC2021,Divisional Relays
D1D2021_Champs,D1D2021,Divisionals
AS2021_Champs,AS2021,All Stars
D2RC2021_Champs,D2RC2021,Divisional Relays
D2D2021_Champs,D2D2021,Divisionals
AS2021_Champs,AS2021,All Stars
D3RC2021_Champs,D3RC2021,Divisional Relays
D3D2021_Champs,D3D2021,Divisionals
AS2021_Champs,AS2021,All Stars
D4RC2021_Champs,D4RC2021,Divisional Relays
D4D2021_Champs,D4D2021,Divisionals
AS2021_Champs,AS2021,All Stars
D5RC2021_Champs,D5RC2021,Divisional Relays
D5D2021_Champs,D5D2021,Divisionals
AS2021_Champs,AS2021,All Stars
D6RC2021_Champs,D6RC2021,Divisional Relays
D6D2021_Champs,D6D2021,Divisionals
AS2021_Champs,AS2021,All Stars
D7RC2021_Champs,D7RC2021,Divisional Relays
D7D2021_Champs,D7D2021,Divisionals
AS2021_Champs,AS2021,All Stars
D8RC2021_Champs,D8RC2021,Divisional Relays
D8D2021_Champs,D8D2021,Divisionals
AS2021_Champs,AS2021,All Stars
D9RC2021_Champs,D9RC2021,Divisional Relays
D9D2021_Champs,D9D2021,Divisionals
AS2021_Champs,AS2021,All Stars
D10RC2021_Champs,D10RC2021,Divisional Relays
D10D2021_Champs,D10D2021,Divisionals
AS2021_Champs,AS2021,All Stars
D11RC2021_Champs,D11RC2021,Divisional Relays
D11D2021_Champs,D11D2021,Divisionals
AS2021_Champs,AS2021,All Stars
D12RC2021_Champs,D12RC2021,Divisional Relays
D12D2021_Champs,D12D2021,Divisionals
AS2021_Champs,AS2021,All Stars
D13RC2021_Champs,D13RC2021,Divisional Relays
D13D2021_Champs,D13D2021,Divisionals
AS2021_Champs,AS2021,All Stars
D14RC2021_Champs,D14RC2021,Divisional Relays
D14D2021_Champs,D14D2021,Divisionals
AS2021_Champs,AS2021,All Stars
D15RC2021_Champs,D15RC2021,Divisional Relays
D15D2021_Champs,D15D2021,Divisionals
AS2021_Champs,AS2021,All Stars
D16RC2021_Champs,D16RC2021,Divisional Relays
D16D2021_Champs,D16D2021,Divisionals
AS2021_Champs,AS2021,All Stars
D17RC2021_Champs,D17RC2021,Divisional Relays
D17D2021_Champs,D17D2021,Divisionals
AS2021_Champs,AS2021,All Stars
